timestamp,evento,clase,confianza

2025-06-25 01:26:57,Persona detectada,person,0.68
2025-06-25 01:26:57,Captura guardada,system,N/A
2025-06-25 01:27:02,Persona detectada,person,0.92
2025-06-25 01:27:02,Captura guardada,system,N/A
2025-06-25 01:27:08,Persona detectada,person,0.77
2025-06-25 01:27:08,Captura guardada,system,N/A
2025-06-25 01:27:13,Persona detectada,person,0.87
2025-06-25 01:27:13,Captura guardada,system,N/A
2025-06-25 01:27:18,Persona detectada,person,0.94
2025-06-25 01:27:18,Captura guardada,system,N/A
2025-06-25 01:27:23,Persona detectada,person,0.86
2025-06-25 01:27:23,Captura guardada,system,N/A
2025-06-25 01:27:28,Persona detectada,person,0.76
2025-06-25 01:27:28,Captura guardada,system,N/A
2025-06-25 01:27:33,Persona detectada,person,0.60
2025-06-25 01:27:33,Captura guardada,system,N/A
2025-06-25 01:27:38,Persona detectada,person,0.94
2025-06-25 01:27:38,Captura guardada,system,N/A
2025-06-25 01:27:43,Persona detectada,person,0.94
2025-06-25 01:27:43,Captura guardada,system,N/A
2025-06-25 01:27:48,Persona detectada,person,0.92
2025-06-25 01:27:48,Captura guardada,system,N/A
2025-06-25 01:27:53,Persona detectada,person,0.92
2025-06-25 01:27:53,Captura guardada,system,N/A
2025-06-25 01:27:58,Persona detectada,person,0.95
2025-06-25 01:27:58,Captura guardada,system,N/A
2025-06-25 01:28:03,Persona detectada,person,0.93
2025-06-25 01:28:03,Captura guardada,system,N/A
2025-06-25 01:28:08,Persona detectada,person,0.93
2025-06-25 01:28:08,Captura guardada,system,N/A
2025-06-25 01:28:13,Persona detectada,person,0.92
2025-06-25 01:28:13,Captura guardada,system,N/A
2025-06-25 01:28:18,Persona detectada,person,0.92
2025-06-25 01:28:18,Captura guardada,system,N/A
2025-06-25 01:28:23,Persona detectada,person,0.93
2025-06-25 01:28:23,Captura guardada,system,N/A
2025-06-25 01:28:28,Persona detectada,person,0.93
2025-06-25 01:28:28,Captura guardada,system,N/A
2025-06-25 01:28:33,Persona detectada,person,0.91
2025-06-25 01:28:33,Captura guardada,system,N/A
2025-06-25 01:28:38,Persona detectada,person,0.92
2025-06-25 01:28:38,Captura guardada,system,N/A
2025-06-25 01:28:43,Persona detectada,person,0.92
2025-06-25 01:28:43,Captura guardada,system,N/A
2025-06-25 01:28:48,Persona detectada,person,0.92
2025-06-25 01:28:48,Captura guardada,system,N/A
2025-06-25 01:28:53,Persona detectada,person,0.93
2025-06-25 01:28:53,Captura guardada,system,N/A
2025-06-25 01:28:58,Persona detectada,person,0.92
2025-06-25 01:28:58,Captura guardada,system,N/A
